"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","427","Verify Phone widget is displayed correctly on Explain Article page","Desktop (en)","2026-02-02","skipped","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","15822","Verify Innovative Project is created and visible on the page","Mobile (en)","2026-02-02","passed","2026-02-02","InnovativeProject tests","Parametrized/CreateAndEditInnovativeProjectTest.spec.js","",""
"","10165","Verify Footer items work on the page","Desktop (en)","2026-02-02","failed","2026-02-02","Footer tests","Parametrized/VerifyFooterTest.spec.js","",""
"","30435","Verify social media links in Footer and Header","Desktop (uk)","2026-02-02","broken","2026-02-02","Social media tests","Parametrized/VerifySocialMediaTest.spec.js","",""
"","411","Verify if Child Article works correctly","Mobile (en)","2026-02-02","skipped","2026-02-02","Article tests","Parametrized/CreateAndEditArticleTest.spec.js","",""
"","0","Verify Losses data has 5 points and More details button clickable","Mobile (en)","2026-02-02","skipped","2026-02-02","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","446","Verify document search work correctness","Mobile (en)","2026-02-02","skipped","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","0","Verify tags created and assigned to document","Desktop (en)","2026-02-02","skipped","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","886","Verify Search bar displayed correctly","Desktop (en)","2026-02-02","failed","2026-02-02","Search tests","Parametrized/VerifySearchTest.spec.js","",""
"","16797","Verify Employees are created and present on appropriate page","Mobile (en)","2026-02-02","passed","2026-02-02","Employee tests","Parametrized/CreateAndEditLeadershipTest.spec.js","",""
"","33971","Verify Social Media widget is displayed correctly on Document page","Mobile (uk)","2026-02-02","broken","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","11215","Verify Losses data is visible on the page","Desktop (uk)","2026-02-02","passed","2026-02-02","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","9034","Verify if Explain Articles Detail page correctly opened after clicking on Tile","Mobile (uk)","2026-02-02","passed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","0","Verify user is able to switch between Highlighted news","Mobile (en)","2026-02-02","skipped","2026-02-02","News tests","Parametrized/CreateAndEditNewsTest.spec.js","",""
"","21952","Verify search by Title and Description","Desktop (en)","2026-02-02","passed","2026-02-02","Search tests","Parametrized/VerifySearchTest.spec.js","",""
"","15345","Verify Quick Links are visible on the page","Mobile (uk)","2026-02-02","passed","2026-02-02","QuickLinks tests","Parametrized/VerifyAndEditQuickLinksTest.spec.js","",""
"","776","Verify Phone widget is displayed correctly on Document page","Desktop (en)","2026-02-02","skipped","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","13478","Verify titles correctness based on tags selected for Explain articles page","Desktop (en)","2026-02-02","passed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
